,vendor_id,b_entity_id
20030,170520311,05S8J5-E
20031,170520311,05S8J5-E
20032,170520311,05S8J5-E
20033,170520311,05S8J5-E
20034,170520311,05S8J5-E
20035,170520311,05S8J5-E
20036,170520311,05S8J5-E
20037,170520311,05S8J5-E
20038,170520311,05S8J5-E
20141,276787676,072Q09-E
20396,193786068,000P03-E
20620,312373201,07R99K-E
20639,324268059,08B7MV-E
20930,299190526,05WT3J-E
21148,46089493,09XFLH-E
21152,285685136,07V7LQ-E
21153,151559437,07XHRY-E
21368,151585708,000P03-E
21580,169545163,07WMRT-E
21630,306746686,07PD4N-E
21658,200579784,00246N-E
21879,145395924,0DDXGS-E
22107,304606198,05PJT2-E
22157,285735228,080KM4-E
22407,47094750,07NPQD-E
22439,140645562,0C85SC-E
22453,314534502,08H12G-E
22737,147774147,0GT6DD-E
22862,154718226,09WFBF-E
22969,142351493,0G9LCN-E
22994,280840900,05S1V0-E
23159,293913354,080NJH-E
23161,307247023,0F63H7-E
23415,140000442,0CC3K1-E
23465,146880485,07TYFD-E
23683,146250732,09L8FT-E
23684,147083635,09XPG9-E
23905,151967627,0892J2-E
24122,325350607,002PKW-E
24333,197040528,0998XH-E
24478,286437001,09V1JC-E
24547,300169295,0B2CLZ-E
24774,278561725,05YSM2-E
25037,193094063,0FYX05-E
25214,296363711,07XJ4L-E
25215,156207102,000P03-E
25391,303651057,0DDVT9-E
25543,152181711,07VN50-E
25593,306574378,08GZYP-E
25661,194022219,00246N-E
25897,279124149,0974XX-E
26151,324421026,008ZJM-E
26201,59226878,083T3M-E
26202,143702693,0DB10C-E
26344,197040533,0HPQLQ-E
26485,294656842,0CFF0L-E
26553,173550565,0F63D9-E
26813,317573185,05PDPK-E
26814,59246236,0C3HFL-E
26823,276746901,003XPY-E
26944,47059292,00817D-E
27169,145631424,0F2ZRC-E
27391,282009209,0CBF92-E
27393,293912175,0F63B3-E
27613,59222351,07QBYY-E
27614,47199338,0C39J4-E
27629,292136204,06LWZF-E
27845,177434151,0GRLQB-E
28092,55755079,08ZT94-E
28356,287874857,0F7WT3-E
28360,140056351,05LH3D-E
28410,279466767,07TG8X-E
28455,324420125,0F4FSB-E
28467,57410696,0DLZD3-E
28473,304153497,07XM91-E
28491,156377516,07W0X4-E
28778,284986596,0F7WV9-E
28779,284943886,0F37R6-E
29018,325114775,0832QQ-E
29221,284993315,0F50LC-E
29400,137724620,0F63GF-E
29409,137796420,0F7WTY-E
29605,286348441,0F647W-E
29863,285118860,07PC80-E
29913,285526127,0F4PV9-E
29915,138103722,0BHLB6-E
30148,286443445,07XFNN-E
30153,285525305,0F27VR-E
30190,138591149,09K2GK-E
30275,292922616,0F2YFF-E
30287,285517083,0F5W0Z-E
30404,59547140,0F64DH-E
30426,304881044,05N765-E
30633,59539966,09T86F-E
30846,51113376,09LKK0-E
30863,294550310,0DBNZT-E
30984,294253135,0CC0Q1-E
31240,307176196,000P03-E
31416,289079183,0H1NXJ-E
31430,285750161,07QCDC-E
31478,285357391,07WF50-E
31680,61121595,07RRTK-E
31901,286377461,07QB4H-E
31951,138668291,0082F9-E
32179,138737253,0F63JM-E
32181,138084976,0CN89R-E
32410,61113193,083KQ7-E
32411,285525977,0F4FM9-E
32415,47883071,072KK5-E
32428,196281797,0D9X78-E
32432,197202668,06KCGB-E
32668,61942176,07QTNS-E
32674,311254559,07XFKJ-E
32910,139999380,07XCN3-E
32934,169366689,083Z32-E
33071,294917993,05L2G7-E
33190,26729525,07XJF3-E
33191,90496832,00DXB6-E
33193,27927633,0GZHSB-E
33263,46321308,0FL6TQ-E
33533,58762307,0DJK9R-E
33753,58762315,07PVDS-E
33788,151549955,0DBJMM-E
33906,26847213,07XD54-E
33910,307974152,07VC7B-E
34125,59142784,005687-E
34175,291371508,0876B0-E
34396,50064145,077M7W-E
34399,325345657,0GM2M3-E
34609,26616999,0F649J-E
34656,286156006,07W3Z2-E
34812,295832050,092802-E
35069,304433421,07M4FB-E
35070,283437005,07XMZ2-E
35071,277366074,07XKR7-E
35333,47104500,07QSYF-E
35337,139275616,000P2M-E
35609,174238079,0F2Y4C-E
35842,197239031,06CW5X-E
35961,47187352,000P03-E
36173,282405029,0BNH8J-E
36174,23908387,08VW8R-E
36409,304901345,07XK16-E
36426,20379112,08885Y-E
36430,321145005,07W9NJ-E
36459,311918392,07ZKZZ-E
36684,290439441,06T596-E
36949,156196660,09397T-E
37167,273557288,05PFCH-E
37217,319455236,0C3995-E
37219,285892235,082C74-E
37220,139514421,087STS-E
37481,47087203,0D890Z-E
37695,193846044,07PXB9-E
37889,285003841,0F2CQC-E
37890,47053157,07VHNQ-E
37895,299333203,07W3MV-E
37896,286338271,0F50MQ-E
38101,286435795,07DTRY-E
38276,286889166,00G1P4-E
38414,284999009,098RXQ-E
38613,286728692,0F67LG-E
38650,284998245,0F67P4-E
38653,138701047,0F4Q4H-E
38894,286337851,0F63JM-E
38896,137751722,0HFFS4-E
39056,143911493,0DPCX7-E
39058,21019010,002DFQ-E
39330,286119499,0F50NB-E
39480,284991910,0GQCD5-E
39657,285066770,07XK0N-E
39679,138090351,05GGNP-E
39729,152543934,0F5LTK-E
39779,292942274,05F68Z-E
40026,286854074,07W536-E
40241,138730760,07R8L7-E
40257,326656219,089QBY-E
40259,141673320,09T6BS-E
40420,304917485,07QTRF-E
40667,49486375,0D9H6X-E
40899,50842570,07XFHX-E
40900,49519030,08835R-E
40902,49509744,0D4LY4-E
41162,21869075,090D0B-E
41332,281401282,05PH3H-E
41577,49482833,009QSL-E
41813,58380705,05PHHV-E
41867,279357210,0883KG-E
